CANDIDATE,LV,VOTE_ALR,VOTE_DEF,HARRIS_SUPP,TRUMP_SUPP,MIND_MADEUP,MIND_PERSUAD,HOUSE_DEM,HOUSE_REP,PARTY_ID_REP,PARTY_ID_DEM,PARTY_ID_IND,SEX_M,SEX_F,AGE_LT_35,AGE_35_44,AGE_GTE_55,AGE_LT_45,AGE_GTE_45,SNRS,CD1,CD2,CD3,CD4,VOTED_2020_TRUMP,VOTED_2020_BIDEN,VOTED_2020_DIDNT,EVER_TRUMP,NEVER_TRUMP,RACE_WHT,RACE_OTHER,WHITE_M,WHITE_F,MARR_MEN,MARR_WOMEN,UNM_MEN,UNM_WOMEN,DADS_CH_LT_18,MOMS_CH_LT_18,MARR_Y,MARR_N,CHILD_LT_18,EDU_NO_COLL,EDU_COLL,REL_PROT,REL_CATH,REL_NONE,EVANGEL,INC_GTE_100K,INC_GTE_70K,INC_LT_70K,INC_LT_50K,COMM_CTY,COMM_SUB,COMM_TWN,COMM_RRL,WHT_M_NO_COL,WHT_M_COL,WHT_F_NO_COL,WHT_F_COL,REP_M,REP_F,DEM_M,DEM_F,IND_M,IND_F,AGE_LT_45_M,AGE_LT_45_F,AGE_GTE_45_M,AGE_GTE_45_F,AGE_GTE_65_M,AGE_GTE_65_F,SUBURB_WOMEN,ENTH_EXTR/VY,ENTH_MILD/NOT
Total Unweighted Respondents,808,258,550,378,358,729,58,362,351,271,242,274,399,409,245,243,318,372,434,186,242,187,194,185,309,316,127,72,301,675,97,328,347,195,225,200,179,105,112,420,379,217,508,288,399,115,149,191,281,405,318,196,254,92,240,199,223,105,202,142,153,118,82,160,150,124,190,182,207,227,78,108,50,547,236
WGT,849,275,574,399,372,769,57,378,373,281,251,293,420,429,188,281,378,333,514,229,211,217,209,212,336,345,102,76,318,715,92,347,368,221,250,194,174,104,128,471,368,231,525,312,429,121,152,202,303,433,324,199,265,89,253,217,234,113,211,155,156,125,88,162,158,135,168,165,250,265,113,116,48,577,243
HARRIS,399,169,230,399,,381,18,361,17,13,244,135,158,241,87,119,193,150,249,126,113,99,100,87,12,322,48,39,304,342,40,133,209,77,124,81,114,36,62,202,196,98,205,191,175,48,97,40,145,206,160,99,161,53,100,75,69,64,104,103,10,3,85,159,58,77,54,96,105,145,53,73,35,285,114
TRUMP,372,80,292,,372,354,17,4,336,251,1,114,220,153,82,140,149,154,217,84,78,97,91,107,299,13,45,,,317,41,181,136,123,107,92,45,58,56,229,137,114,270,97,228,59,45,148,136,197,138,83,88,32,124,119,143,38,93,43,138,113,1,,75,39,97,57,122,95,51,32,12,282,86
RFK JR,23,1,23,,,5,17,5,7,7,1,16,12,11,8,10,5,12,12,1,7,7,5,4,11,2,5,15,3,17,6,11,6,5,9,7,3,3,8,13,10,11,13,11,8,3,5,4,10,15,6,3,4,1,13,6,4,7,3,3,4,3,,1,9,8,7,5,5,7,,1,1,2,21
OLIVER,3,,3,,,2,1,,2,,,2,3,,,1,2,1,2,2,1,,,2,,,2,,,3,,3,,,,3,,,,,3,,3,,2,,,1,,,2,,,,3,,3,,,,,,,,2,,1,,2,,2,,,,3
SOMEONE ELSE,9,4,6,,,6,4,2,1,2,,6,4,5,3,3,4,4,5,2,3,3,4,,3,3,1,4,3,9,1,4,5,3,3,1,3,1,2,6,4,3,7,2,3,3,2,3,3,5,3,1,3,1,2,4,3,1,3,2,1,1,,,3,3,3,2,2,4,,2,1,1,9
WOULDN'T VOTE,1,,1,,,,,,,,,1,1,,,,1,,1,,,,1,,1,,,1,,,,,,1,,,,,,1,,,,1,,,,,1,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,
NS/DON'T REMEMBER,21,2,20,,,2,,3,7,6,1,10,10,11,4,6,10,8,12,5,4,7,4,7,7,1,1,12,6,13,5,5,8,5,5,5,5,2,1,11,10,3,14,6,7,3,1,3,6,6,10,8,5,8,,5,3,2,4,4,3,3,1,,4,6,5,4,4,8,1,4,,1,1
DON'T WANT TO TELL,19,19,,,,19,,3,3,3,4,9,11,8,3,2,14,3,16,9,5,4,4,6,3,4,1,7,3,15,,10,5,7,3,4,5,3,1,9,9,4,14,4,6,5,3,3,3,3,6,4,5,1,4,8,8,2,4,,1,2,1,3,6,3,1,1,10,7,6,3,,6,10
